length_px_rounded,count,sum_length_px
2,7,15.656854249492383
3,4,12.65685424949238
4,1,4.0
6,2,12.65685424949238
7,3,20.727922061357855
8,1,8.414213562373096
9,2,17.899494936611664
10,1,9.899494936611667
12,1,12.242640687119287
13,4,53.1126983722081
14,1,14.242640687119286
16,1,15.828427124746192
17,2,34.071067811865476
18,1,17.65685424949238
19,3,57.18376618407357
22,1,22.142135623730955
23,1,22.72792206135786
24,3,71.76955262170048
26,1,26.242640687119287
29,1,29.242640687119287
30,1,30.071067811865476
33,1,32.65685424949238
34,1,34.28427124746191
37,1,36.97056274847714
38,1,38.31370849898476
40,3,120.21320343559643
43,1,42.69848480983499
44,2,88.32590180780451
45,1,44.72792206135786
46,1,45.59797974644665
48,1,47.87005768508882
53,1,52.769552621700484
54,1,54.42640687119287
57,2,113.79898987322332
58,2,115.71067811865474
66,2,132.32590180780448
68,1,67.97056274847714
69,2,137.953318805774
74,1,73.79898987322332
79,1,78.59797974644665
98,1,97.56854249492378
112,1,112.41421356237309
130,1,130.22539674441612
131,1,131.01219330881975
